                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4477,                 2.0075,                 1.4632,                0.44242,                0.33552,                0.30271,                0.14459,                 1.9888,                 2.9385,                 1.8655,               0.070029,              0.0033301,              0.0033301
                      2,                  1.432,                 1.8269,                 1.5005,                0.52988,                 0.4882,                0.49105,                 0.2776,                 1.5155,                 1.9762,                 1.6138,               0.040007,              0.0066415,              0.0066415
                      3,                 1.4111,                 1.7639,                 1.5059,                0.52866,                0.45597,                0.47771,                0.27755,                 1.5104,                 1.8492,                 1.6131,              0.0099631,              0.0099308,              0.0099308
                      4,                 1.3844,                 1.6982,                 1.5013,                0.61074,                0.57515,                0.61566,                0.37463,                 1.3957,                 1.4367,                 1.5026,               0.009901,               0.009901,               0.009901
                      5,                 1.3593,                 1.6286,                 1.4893,                0.67134,                0.61214,                0.66786,                0.41531,                  1.353,                 1.3362,                 1.4711,               0.009868,               0.009868,               0.009868
                      6,                 1.3468,                 1.5909,                 1.4826,                0.70323,                0.60146,                0.67612,                0.41389,                 1.3695,                  1.317,                 1.4788,               0.009835,               0.009835,               0.009835
                      7,                 1.3369,                 1.5655,                 1.4737,                0.73378,                0.65967,                0.73327,                0.47021,                 1.2781,                 1.1599,                 1.4142,               0.009802,               0.009802,               0.009802
                      8,                 1.3307,                 1.5422,                 1.4659,                0.74694,                0.67707,                0.74873,                0.48238,                 1.2692,                 1.1185,                 1.3988,               0.009769,               0.009769,               0.009769
                      9,                 1.3279,                 1.5326,                 1.4596,                0.76784,                0.68609,                0.76406,                0.49528,                 1.2481,                 1.0807,                 1.3712,               0.009736,               0.009736,               0.009736
                     10,                 1.3225,                 1.5124,                 1.4547,                0.77892,                0.69915,                0.78134,                0.50927,                 1.2288,                 1.0281,                 1.3551,               0.009703,               0.009703,               0.009703
                     11,                 1.3201,                 1.5034,                 1.4487,                0.77934,                0.70434,                0.78246,                0.51225,                  1.219,                 1.0292,                 1.3497,                0.00967,                0.00967,                0.00967
                     12,                 1.3169,                 1.4952,                 1.4453,                0.79433,                0.70734,                0.79113,                0.52158,                 1.2056,                 1.0031,                 1.3401,               0.009637,               0.009637,               0.009637
                     13,                 1.3162,                 1.4979,                 1.4462,                0.79683,                0.70979,                0.79342,                0.52392,                 1.2057,                0.99997,                 1.3431,               0.009604,               0.009604,               0.009604
                     14,                  1.316,                 1.4928,                 1.4435,                0.79496,                0.71177,                0.79526,                0.52502,                 1.2009,                0.99638,                  1.337,               0.009571,               0.009571,               0.009571
                     15,                 1.3174,                 1.4918,                 1.4423,                0.79584,                0.71386,                0.79607,                0.52597,                  1.199,                0.99537,                 1.3351,               0.009538,               0.009538,               0.009538
                     16,                 1.3133,                 1.4874,                 1.4411,                0.79907,                0.71293,                0.79644,                0.52633,                 1.1981,                0.99561,                 1.3345,               0.009505,               0.009505,               0.009505
                     17,                 1.3115,                 1.4848,                 1.4379,                0.79598,                0.71576,                0.79723,                0.52737,                 1.1971,                0.99348,                 1.3326,               0.009472,               0.009472,               0.009472
                     18,                 1.3131,                 1.4743,                 1.4366,                0.80275,                0.71249,                0.79777,                0.52733,                 1.1976,                0.99318,                 1.3322,               0.009439,               0.009439,               0.009439
                     19,                 1.3111,                 1.4758,                 1.4395,                 0.8014,                 0.7124,                0.79665,                0.52685,                 1.1983,                0.99683,                 1.3325,               0.009406,               0.009406,               0.009406
                     20,                 1.3084,                 1.4749,                 1.4377,                0.80157,                0.70954,                0.79536,                0.52591,                 1.1988,                      1,                 1.3327,               0.009373,               0.009373,               0.009373
                     21,                 1.3127,                 1.4762,                  1.439,                0.80168,                0.70783,                0.79426,                 0.5251,                 1.1994,                 1.0038,                 1.3333,                0.00934,                0.00934,                0.00934
                     22,                 1.3105,                 1.4695,                 1.4354,                0.79821,                0.70689,                0.79274,                0.52394,                 1.2005,                 1.0084,                 1.3339,               0.009307,               0.009307,               0.009307
                     23,                 1.3104,                 1.4691,                 1.4365,                0.80063,                0.70165,                0.79125,                 0.5228,                 1.2022,                 1.0138,                 1.3351,               0.009274,               0.009274,               0.009274
                     24,                 1.3081,                 1.4609,                 1.4355,                0.80148,                0.69975,                0.79021,                0.52173,                 1.2041,                  1.019,                 1.3366,               0.009241,               0.009241,               0.009241
                     25,                 1.3075,                 1.4615,                 1.4325,                0.79862,                0.69984,                0.78823,                0.52052,                 1.2066,                 1.0244,                 1.3383,               0.009208,               0.009208,               0.009208
                     26,                 1.3076,                 1.4545,                 1.4348,                0.79844,                0.69708,                0.78676,                0.51919,                 1.2085,                 1.0292,                 1.3399,               0.009175,               0.009175,               0.009175
                     27,                 1.3068,                 1.4538,                 1.4315,                 0.7952,                0.69787,                0.78549,                0.51832,                 1.2098,                 1.0346,                 1.3416,               0.009142,               0.009142,               0.009142
                     28,                 1.3032,                 1.4541,                 1.4309,                0.79475,                0.69418,                0.78344,                0.51688,                 1.2111,                 1.0425,                 1.3435,               0.009109,               0.009109,               0.009109
                     29,                 1.3029,                 1.4552,                 1.4302,                0.79794,                0.68973,                0.78195,                0.51578,                 1.2127,                 1.0471,                 1.3448,               0.009076,               0.009076,               0.009076
                     30,                 1.3023,                  1.449,                 1.4314,                0.79893,                0.68637,                0.78047,                0.51455,                 1.2144,                 1.0525,                 1.3461,               0.009043,               0.009043,               0.009043
                     31,                 1.3031,                 1.4427,                 1.4303,                0.79431,                0.68827,                0.77999,                0.51395,                  1.215,                 1.0563,                 1.3465,                0.00901,                0.00901,                0.00901
                     32,                  1.299,                 1.4391,                 1.4248,                0.79266,                0.68873,                0.77917,                0.51279,                 1.2167,                 1.0608,                 1.3474,               0.008977,               0.008977,               0.008977
                     33,                 1.2968,                 1.4347,                 1.4255,                0.78999,                0.69011,                0.77884,                0.51218,                 1.2182,                 1.0643,                 1.3483,               0.008944,               0.008944,               0.008944
                     34,                 1.3002,                 1.4438,                 1.4315,                0.78922,                0.69076,                0.77853,                0.51171,                 1.2198,                 1.0659,                 1.3496,               0.008911,               0.008911,               0.008911
                     35,                 1.2988,                 1.4358,                 1.4321,                0.79245,                0.68895,                0.77878,                0.51188,                 1.2207,                 1.0648,                 1.3506,               0.008878,               0.008878,               0.008878
                     36,                 1.3038,                 1.4415,                 1.4336,                0.79195,                0.68809,                0.77886,                 0.5121,                 1.2207,                 1.0646,                 1.3507,               0.008845,               0.008845,               0.008845
                     37,                 1.2987,                 1.4352,                 1.4282,                 0.7921,                0.68877,                0.77957,                0.51284,                 1.2195,                 1.0633,                 1.3498,               0.008812,               0.008812,               0.008812
                     38,                 1.2957,                 1.4307,                 1.4227,                 0.7905,                0.68976,                0.78045,                0.51378,                 1.2187,                 1.0596,                 1.3484,               0.008779,               0.008779,               0.008779
                     39,                 1.3002,                 1.4372,                 1.4247,                0.79118,                0.69216,                0.78216,                0.51518,                 1.2172,                 1.0544,                 1.3464,               0.008746,               0.008746,               0.008746
                     40,                 1.2976,                 1.4315,                 1.4234,                0.79412,                0.69198,                0.78298,                0.51641,                 1.2157,                 1.0511,                 1.3456,               0.008713,               0.008713,               0.008713
                     41,                  1.298,                 1.4245,                  1.421,                0.79509,                0.69455,                0.78453,                0.51758,                 1.2137,                 1.0466,                  1.344,                0.00868,                0.00868,                0.00868
                     42,                 1.2957,                 1.4281,                 1.4224,                0.79756,                0.69367,                0.78501,                0.51874,                 1.2118,                 1.0439,                  1.343,               0.008647,               0.008647,               0.008647
                     43,                  1.293,                 1.4223,                 1.4193,                0.79783,                0.69466,                0.78595,                0.51972,                 1.2104,                  1.039,                 1.3415,               0.008614,               0.008614,               0.008614
                     44,                 1.2952,                 1.4243,                 1.4183,                0.79969,                0.69386,                0.78665,                0.52026,                 1.2103,                 1.0353,                 1.3409,               0.008581,               0.008581,               0.008581
